Limits Sentences,Generalized Limit Sentences
"48
48
50
54

6 Conclusion

57

7 Outlook

61

Bibliography

63

vi

Nomenclature

Mathematical Symbols
α

Preference parameter, addressing the metric time

β

Preference parameter, addressing the metric emission

γ

Preference parameter, addressing the metric cost

A

Set of all arcs a

FR

Resource space, referring to arc weights

G

Digraph (also referred as directed graph)

P

Set of all ports p

V

Set of all nodes v

X

Set of all different preferences x

a

Arc (also referred as edge)

c

Cost

USD/tcargo

d

Additional delay at canal

h

dregular

Delay at canal during regular operation

h

e

SO2 -Emission

tsulfur/tcargo

fcanal

Canal congestion function

n

Number of vessels at/in canal or general index

ncrit

Critical number of vessels at canal

p

Port

q

Waiting time per additional vessel at canal

r

Path (also referred as route)

t

Time

s

Tend,demand

End of period during which new demands are released

d

Tend

End time of the simulation

d

Tstart,demand Start of period during which new demands are released
Tstart

Start time of the simulation

h

d
d

vii

v

Node (also referred as vertex)

w

General weight for arcs a or paths r

x

Preference

Subscripts
Aframax

Aframax, referring to the Aframax subgraph

Arrival

Arrival, referring to Arrival nodes

ballast

ballast, referring to ballast arcs

canal

canal, referring to the canal congestion function

Departure

Departure, referring to Departure nodes

destination

destination, referring to the demand destination

Discharge

Discharge, referring to Discharge arcs

end

end, referring to the end node of an arc or a time period

laden

laden, referring to laden arcs

Land

Land, referring to Land nodes

Load

Load, referring to Load arcs

origin

origin, referring to the demand origin

Panama

Panama, referring to the Panama Canal

start

start, referring to the start node of an arc or a time period

Suezmax

Suezmax, referring to the Suezmax subgraph

Suez

Suez, referring to the Suez Canal

total

total, referring to the total transportation graph

Travel

Travel, referring to Travel arcs

VLCC

VLCC, referring to the VLCC subgraph

Superscripts
¯

dimensionless, referring to normalized metrics time, emission, cost

Acronyms and Abbreviations
(S)ECA

(Sulfur) Emission Control Area

AMoD

Autonomous Mobility-on-Demand

API

Application Programming Interface

AV

Autonomous Vehicle

BGL

Boost Graph Library
viii

BPR

Bureau of Public Roads

DWT

Deadweight Tonnage

IDE

Integrated Development Environment

IDSC

Institute for Dynamic Systems and Control

IMO

International Maritime Organization

JSON

JavaScript Object Notation

LSNDP

Liner Shipping Network Design Problem

OR

Operations Research

TCE

Time Charter Equivalent

USD

US Dollar

VLCC

Very Large Crude Carrier

Glossary
(S)ECA

Emission Control Areas (ECAs) and Sulfur Emission Control Areas (SECAs) describe sea areas, usually located in coastal regions, where airborne emissions caused
by ships are more strictly controlled [2]",['A limitation: c \r\n\r\n Cost \r\n\r\n USD / tcargo.']
"1

Motivation

The supply of energy poses a major challenge in global economy",['A limitation: 1 \r\n\r\n Motivation \r\n\r\n The supply of.']
"• Problem Structure
Due to the large variety of problems related to maritime transportation in many different
operational environments, they are very difficult to structure and organize",['A limitation: • Problem Structure \r\n Due to the.']
"Generally, most of the papers in maritime transportation consider a ship routing or scheduling
problem for a specific operation mode","['A limitation: Generally , most of the papers in.']"
"Previous works in the field of maritime transportation are often structured similarly, especially
when addressing a ship routing or scheduling problem",['A limitation: Previous works in the field of maritime.']
"A detailed problem description of LSNDPs is provided in
[32], including a mathematical model as well as a benchmark suite for LSNDPs",['A limitation: A detailed problem description of LSNDPs is.']
"In [30] a multi-commodity network flow problem with time constraints is covered, referring
to its application for liner shipping",['A limitation: In [ 30 ] a multi -.']
"Such problem descriptions mainly focus on an optimization process by which specific
sets are partitioned into smaller subsets",['A limitation: Such problem descriptions mainly focus on an.']
"Regarding crude oil tankers, a scheduling problem for a mayor oil company is addressed in form
of a set partitioning model in [40]","['A limitation: Regarding crude oil tankers , a scheduling.']"
"In [45] another scheduling problem for tankers
is investigated, specifically related to the Chevron Shipping Company",['A limitation: In [ 45 ] another scheduling problem.']
"An oil tanker scheduling
problem for a Japanese oil transportation company is given in [46]",['A limitation: An oil tanker scheduling \r\n problem for.']
"Similarly, [47, 48] consider the
routing and scheduling problem for oil tankers with regard to the Kuwait Petroleum Corporation","['A limitation: Similarly , [ 47 , 48 ].']"
"A ship routing and scheduling problem for tramp (charter) operation and flexible cargo sizes is
described by [49]",['A limitation: A ship routing and scheduling problem for.']
